,Median_Income,zip_code,name,cuisine,price_range,rating,review_count,latitude,longitude,price,cuisine_cat
76,133211,20001.0,ZumoThai,Asian Fusion,2,4.5,112.0,38.9003,-77.02164,20.5,asian
77,133211,20001.0,Haikan,Ramen,2,4.0,579.0,38.91799299,-77.02323518,20.5,asian
79,133211,20001.0,RPM Italian,Italian,3,4.0,1783.0,38.9023026852199,-77.0209709153443,45.5,european
81,133211,20001.0,Service Bar,Cocktail Bars,2,4.4,304.0,38.91683,-77.02501,20.5,bars
82,133211,20001.0,Wasai,Chinese,2,4.0,201.0,38.89905,-77.02222,20.5,asian
83,133211,20001.0,Tortino Restaurant,Italian,2,4.2,860.0,38.906591,-77.027296,20.5,european
84,133211,20001.0,Mandu,Korean,2,3.9,913.0,38.9025165013075,-77.0182084994751,20.5,asian
85,133211,20001.0,SUNdeVICH,Sandwiches,2,4.2,643.0,38.90776373566,-77.024359310674,20.5,breakfast
87,133211,20001.0,The Dignitary,Cocktail Bars,2,3.8,96.0,38.90376,-77.02478,20.5,bars
88,133211,20001.0,Dubliner Restaurant & Pub,Irish,2,3.6,863.0,38.8971526,-77.009472,20.5,european
89,133211,20001.0,Lost & Found,Cocktail Bars,2,3.6,181.0,38.90677,-77.02428,20.5,bars
90,133211,20001.0,Jackpot,Dive Bars,2,4.3,259.0,38.89934155115411,-77.02203414755776,20.5,bars
91,133211,20001.0,City Tap House Penn Quarter,Bars,2,3.9,1844.0,38.90104645534967,-77.02379934110401,20.5,bars
92,133211,20001.0,Hamilton's Bar & Grill,Sports Bars,2,3.5,320.0,38.8932571411133,-77.0134048461914,20.5,bars
93,133211,20001.0,Over Under Sportsbook Rooftop Lounge,Sports Bars,2,3.3,78.0,38.90227,-77.0187,20.5,bars
94,133211,20001.0,Death & Co DC,Cocktail Bars,3,4.0,78.0,38.90642,-77.02455,45.5,bars
95,133211,20001.0,Service Bar,Cocktail Bars,2,4.4,304.0,38.91683,-77.02501,20.5,bars
96,133211,20001.0,600 T,Cocktail Bars,2,4.6,142.0,38.91542,-77.02039,20.5,bars
98,133211,20001.0,The Royal,Coffee & Tea,2,4.2,401.0,38.9150428771973,-77.0185775756836,20.5,cafes
