,name,cuisine,price_range,rating,review_count,latitude,longitude,zip_code,Label (Grouping),District of Columbia!!Estimate,District of Columbia!!Margin of Error,ZCTA5 20001!!Estimate,ZCTA5 20001!!Margin of Error,ZCTA5 20002!!Estimate,ZCTA5 20002!!Margin of Error,ZCTA5 20003!!Estimate,ZCTA5 20003!!Margin of Error,ZCTA5 20004!!Estimate,ZCTA5 20004!!Margin of Error,ZCTA5 20005!!Estimate,ZCTA5 20005!!Margin of Error,ZCTA5 20006!!Estimate,ZCTA5 20006!!Margin of Error,ZCTA5 20007!!Estimate,ZCTA5 20007!!Margin of Error,ZCTA5 20008!!Estimate,ZCTA5 20008!!Margin of Error,ZCTA5 20009!!Estimate,ZCTA5 20009!!Margin of Error,ZCTA5 20010!!Estimate,ZCTA5 20010!!Margin of Error,ZCTA5 20011!!Estimate,ZCTA5 20011!!Margin of Error,ZCTA5 20012!!Estimate,ZCTA5 20012!!Margin of Error,ZCTA5 20015!!Estimate,ZCTA5 20015!!Margin of Error,ZCTA5 20016!!Estimate,ZCTA5 20016!!Margin of Error,ZCTA5 20017!!Estimate,ZCTA5 20017!!Margin of Error,ZCTA5 20018!!Estimate,ZCTA5 20018!!Margin of Error,ZCTA5 20019!!Estimate,ZCTA5 20019!!Margin of Error,ZCTA5 20020!!Estimate,ZCTA5 20020!!Margin of Error,ZCTA5 20024!!Estimate,ZCTA5 20024!!Margin of Error,ZCTA5 20032!!Estimate,ZCTA5 20032!!Margin of Error,ZCTA5 20036!!Estimate,ZCTA5 20036!!Margin of Error,ZCTA5 20037!!Estimate,ZCTA5 20037!!Margin of Error,ZCTA5 20045!!Estimate,ZCTA5 20045!!Margin of Error,ZCTA5 20052!!Estimate,ZCTA5 20052!!Margin of Error,ZCTA5 20057!!Estimate,ZCTA5 20057!!Margin of Error,ZCTA5 20059!!Estimate,ZCTA5 20059!!Margin of Error,ZCTA5 20064!!Estimate,ZCTA5 20064!!Margin of Error,ZCTA5 20204!!Estimate,ZCTA5 20204!!Margin of Error,ZCTA5 20220!!Estimate,ZCTA5 20220!!Margin of Error,ZCTA5 20230!!Estimate,ZCTA5 20230!!Margin of Error,ZCTA5 20240!!Estimate,ZCTA5 20240!!Margin of Error,ZCTA5 20245!!Estimate,ZCTA5 20245!!Margin of Error,ZCTA5 20250!!Estimate,ZCTA5 20250!!Margin of Error,ZCTA5 20260!!Estimate,ZCTA5 20260!!Margin of Error,ZCTA5 20317!!Estimate,ZCTA5 20317!!Margin of Error,ZCTA5 20319!!Estimate,ZCTA5 20319!!Margin of Error,ZCTA5 20373!!Estimate,ZCTA5 20373!!Margin of Error,ZCTA5 20388!!Estimate,ZCTA5 20388!!Margin of Error,ZCTA5 20390!!Estimate,ZCTA5 20390!!Margin of Error,ZCTA5 20408!!Estimate,ZCTA5 20408!!Margin of Error,ZCTA5 20415!!Estimate,ZCTA5 20415!!Margin of Error,ZCTA5 20418!!Estimate,ZCTA5 20418!!Margin of Error,ZCTA5 20422!!Estimate,ZCTA5 20422!!Margin of Error,ZCTA5 20427!!Estimate,ZCTA5 20427!!Margin of Error,ZCTA5 20431!!Estimate,ZCTA5 20431!!Margin of Error,ZCTA5 20510!!Estimate,ZCTA5 20510!!Margin of Error,ZCTA5 20515!!Estimate,ZCTA5 20515!!Margin of Error,ZCTA5 20520!!Estimate,ZCTA5 20520!!Margin of Error,ZCTA5 20530!!Estimate,ZCTA5 20530!!Margin of Error,ZCTA5 20535!!Estimate,ZCTA5 20535!!Margin of Error,ZCTA5 20540!!Estimate,ZCTA5 20540!!Margin of Error,ZCTA5 20542!!Estimate,ZCTA5 20542!!Margin of Error,ZCTA5 20551!!Estimate,ZCTA5 20551!!Margin of Error,ZCTA5 20560!!Estimate,ZCTA5 20560!!Margin of Error,ZCTA5 20565!!Estimate,ZCTA5 20565!!Margin of Error,ZCTA5 20566!!Estimate,ZCTA5 20566!!Margin of Error,ZCTA5 20591!!Estimate,ZCTA5 20591!!Margin of Error
10,Emissary,Coffee & Tea,0,4.7,11.0,38.9038,-77.06351,20007.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Peregrine Espresso,Coffee & Tea,$,4.1,112.0,38.9087806,-76.9979685,20002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Solid State Books,Bookstores,$$,4.7,68.0,38.9003365874488,-76.99679710468791,20002.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,La Colombe Coffee,Coffee & Tea,$$,3.4,118.0,38.9199028015137,-77.0311737060547,20009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,South Block,Juice Bars & Smoothies,$$,4.3,43.0,38.909488,-77.03226,20005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Tatte Bakery & Cafe,Bakeries,0,3.8,20.0,38.919,-77.03248,20009.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Real Deal Coffee Roasters,Coffee & Tea,0,5.0,2.0,38.90322745123764,-77.03351732343435,20005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Timgad Cafe,Coffee & Tea,$,4.1,148.0,38.89360349731878,-77.02926874631972,20004.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,For Five Coffee Roasters,Coffee & Tea,0,3.4,25.0,38.895767,-77.070455,22209.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Lapop,Coffee & Tea,$$,4.1,38.0,38.9213293230941,-77.0438345815766,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
