,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,The Dabney,New American,$$$$,4.3,862,N/A,38.9063563388808,-77.0244961023773,20001
1,La Bonne Vache,French,N/A,4.4,86,N/A,38.906114,-77.065069,20007
2,Claudios Table,Italian,N/A,4.0,41,N/A,38.930033,-77.106488,20016
3,Bistro Du Jour,French,N/A,4.4,56,N/A,38.89759114678396,-77.01077752461747,20001
4,Gordon Ramsay Hell's Kitchen,Desserts,$$$$,4.0,829,N/A,38.87680370590956,-77.02240933741703,20024
5,Han Palace,Dim Sum,$$,3.9,299,N/A,38.92497,-77.05199,20008
6,Mikko,Scandinavian,$$,4.3,178,N/A,38.91241,-77.03797,20009
7,Planta Cocina,Vegan,N/A,4.3,48,N/A,38.90947655094931,-77.03415989999999,20005
8,Cana - Caipirinha Bar,Brazilian,N/A,4.8,18,N/A,38.921096,-77.042414,20009
9,O Kabul,Turkish,N/A,4.3,11,N/A,38.91587774813631,-77.0123768756711,20001
10,Yasmine,Lebanese,N/A,4.2,87,N/A,38.908598,-76.997378,20002
11,Supra,Bars,$$$,4.1,763,N/A,38.906,-77.026725,20001
12,Founding Farmers Fishers & Bakers,New American,$$,3.8,4913,N/A,38.90178386860307,-77.05973267918453,20007
13,Yara Rooftop,Japanese,N/A,3.9,25,N/A,38.903387,-77.00517,20002
14,Osteria Al  Volo,Italian,$$,4.5,562,N/A,38.92271878316674,-77.04217705493204,20009
15,The Red Hen,Italian,$$$,4.2,1087,N/A,38.9149738,-77.01237122453689,20001
16,North Italia,Italian,$$,4.1,501,N/A,38.90142,-77.04761,20037
17,54 Noodles Bar,Vietnamese,N/A,4.1,26,N/A,38.91056946619368,-77.03161831945181,20005
18,SUNdeVICH,Sandwiches,N/A,4.3,59,N/A,38.89816809575872,-77.01152289570084,20001
19,The Royal,Coffee & Tea,$$,4.2,401,N/A,38.9150428771973,-77.0185775756836,20001
20,Namak,Mediterranean,N/A,4.5,49,N/A,38.92206866693497,-77.0435015449828,20009
21,Your Only Friend,Sandwiches,N/A,4.5,55,N/A,38.90481701104921,-77.02421626509336,20001
22,54 Restaurant,Vietnamese,$$,4.4,157,N/A,38.895764217248086,-77.02863950823993,20006
23,Maketto,Cafes,$$$,4.1,1274,N/A,38.89990414059217,-76.98666519999999,20002
24,Makers Union,New American,N/A,4.0,206,N/A,38.87789,-77.0224,20024
25,El Sol Restaurant & Tequileria,Mexican,$$,4.1,732,N/A,38.9066,-77.02667,20001
26,Barcelona Wine Bar,Tapas/Small Plates,$$,4.2,2254,N/A,38.912112566624955,-77.03215627334023,20005
27,Barrel,New American,$$,4.3,939,N/A,38.8851357980807,-76.9978595803566,20003
28,Menomale,Pizza,$$,4.4,98,N/A,38.906978,-77.007822,20002
29,Lutèce,French,N/A,4.3,204,N/A,38.90942537376213,-77.0645419131398,20007
30,Silver Social Navy Yard,New American,N/A,4.3,193,N/A,38.874818837842085,-77.00719621146919,20003
31,Floriana,Italian,$$,4.1,935,N/A,38.91133287092,-77.0386550000805,20009
32,Ko Japanese Dining,Japanese,N/A,4.8,34,N/A,38.91155110707757,-77.04473917405747,20009
33,District Rico,Peruvian,$$,4.1,362,N/A,38.900365,-77.011819,20001
34,Jerks of the Caribbean,Caribbean,N/A,4.7,29,N/A,38.88476199999999,-77.0155718,20024
35,Pesce Seafood House,Seafood,N/A,4.7,45,N/A,38.914396367629685,-77.04655964450733,20009
36,Little Blackbird,Wine Bars,N/A,4.7,27,N/A,38.93389703251813,-77.0570814,20008
37,Primrose,French,$$,4.0,264,N/A,38.92775,-76.99088,20017
38,Bozzelli's,Pizza,$$,4.3,307,N/A,38.90339751472666,-77.0329814177919,20005
39,Abuare  Restaurant,Ethiopian,N/A,4.9,40,N/A,38.91681,-77.03557,20009
40,Convivial,French,$$,4.1,849,N/A,38.9086949,-77.0231236,20001
41,Milk & Honey Southern Inspired Kitchen,Breakfast & Brunch,$$,3.9,261,N/A,38.87789,-77.0224,20024
42,Bangbop,Korean,$$,4.5,88,N/A,38.92584,-76.99274,20017
43,Duke's Grocery,Pubs,$$,4.1,1333,N/A,38.9101969,-77.03828734112203,20036
44,bartaco,Tacos,$$,3.8,174,N/A,38.87695212181637,-77.02216083163236,20024
45,Pascual,Mexican,N/A,4.1,58,N/A,38.89566385318644,-76.9951609,20002
46,Present Company Public House,Pubs,$$,4.6,110,N/A,38.9002246213413,-77.0172864220771,20001
47,Proper 21 - F Street,Bars,$$,3.9,861,N/A,38.8976440429688,-77.0305938720703,20004
48,Rasika,Indian,$$,4.2,3943,N/A,38.8950080871582,-77.0212860107422,20004
49,Shilling Canning Company,New American,$$,4.3,260,N/A,38.87397,-77.00108,20003
