,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,Paste & Rind,Cheese Shops,N/A,4.6,15,N/A,38.900409,-76.993435,20002
1,Brightwood Pizza & Bottle by ANXO,Bars,$$,4.4,73,N/A,38.9565769,-77.0228742,20011
2,Bartaco,Latin American,$$,4.3,42,N/A,38.90279,-77.01831,20001
3,Housebar,"Beer, Wine & Spirits",N/A,4.8,17,N/A,38.874961730491655,-77.0060998,20003
4,Chaplin's,Cocktail Bars,$$,4.0,1417,N/A,38.909798,-77.023651,20001
5,Lucy Bar,Cocktail Bars,N/A,4.2,56,N/A,38.92002327865334,-77.03147438069553,20009
6,Del Mar,Spanish,$$$,3.9,980,N/A,38.878951,-77.024583,20024
7,Harry's Pub,Pubs,$$,2.9,57,N/A,38.9243942211468,-77.0548882235565,20008
8,The Tombs,New American,$$,3.8,456,N/A,38.90602571513648,-77.07044349238734,20007
9,The Rooftop at The Graham,Cocktail Bars,$$$,3.3,69,N/A,38.904775,-77.059903,20007
10,Tabla,Georgian,N/A,4.2,124,N/A,38.9310879107015,-77.023394331336,20010
11,Smoke & Mirrors,Bars,$$,3.3,276,N/A,38.88026990594507,-77.00567749999999,20003
12,Black Jack,Lounges,$$,3.8,254,N/A,38.9116189,-77.03229769508916,20009
13,Thirsty Crow,Bars,N/A,4.1,58,N/A,38.932001,-77.028535,20010
14,Grand Duchess,Cocktail Bars,N/A,4.3,42,N/A,38.9206,-77.04166,20009
15,Emissary,Coffee & Tea,N/A,4.7,11,N/A,38.9038,-77.06351,20007
16,Primrose,French,$$,4.0,264,N/A,38.92775,-76.99088,20017
17,Shelly's Back Room,New American,$$,3.6,481,N/A,38.8974801984563,-77.031163412442,20004
18,Tiki On 18th,Tiki Bars,$$,4.0,221,N/A,38.9208884,-77.0417215,20009
19,Walters,Sports Bars,$$,3.8,182,N/A,38.87479590000207,-77.00875151165098,20024
20,Sky Lounge,Coffee & Tea,N/A,5.0,2,N/A,38.852698,-77.132345,22041
21,Penn Quarter Sports Tavern,Sports Bars,$$,3.6,614,N/A,38.89428,-77.02146,20004
22,ZOOZ Cocktail Garden,Cocktail Bars,N/A,3.6,57,N/A,38.877178789328624,-77.02112729969375,20024
23,Fringetree,Bars,$$,3.2,11,N/A,38.9052506,-77.0334345,20005
24,The Conservatory at Ivy City,Cocktail Bars,$$$,4.2,5,N/A,38.914413,-76.984257,20002
25,Hi-Lawn,Cocktail Bars,N/A,3.5,63,N/A,38.90831798837328,-76.99707017337843,20002
26,The Golden Age,Cocktail Bars,N/A,4.4,35,N/A,38.91349007990498,-77.0459902727018,20009
27,Betsy,Bars,$$,4.1,124,N/A,38.88222794958307,-76.99469676016406,20003
28,Nanny O'Brien's Irish Pub,Pubs,$$,3.6,235,N/A,38.934101,-77.057195,20008
29,Duke's Grocery,Burgers,$$,3.9,393,N/A,38.9005159886944,-77.0460143246063,20006
30,The Capital Burger,Burgers,$$,4.3,988,N/A,38.90331,-77.021605,20001
31,Puttery,Mini Golf,$$,3.9,245,N/A,38.896891,-77.023434,20004
32,Seven Reasons,Latin American,$$$,4.2,510,N/A,38.89996921804753,-77.0249762,20001
33,Sangria Bar and Grill,Bars,N/A,4.9,7,N/A,38.93388692160362,-77.0237508,20010
34,Little Blackbird,Wine Bars,N/A,4.7,27,N/A,38.93389703251813,-77.0570814,20008
35,Article One Lounge,Lounges,$$$,3.3,9,N/A,38.89537,-77.01173,20001
36,The Ministry,Coffee & Tea,$$,4.3,111,N/A,38.8978502,-77.011664,20001
37,The Passenger,Bars,$$,3.8,426,N/A,38.91071836970016,-77.02175765750285,20001
38,Board Room,Sports Bars,$$,4.0,430,N/A,38.913678,-77.04532568464947,20009
39,Dirty Water,Sports Bars,$$,4.0,45,N/A,38.9002024063803,-76.9940482762149,20002
40,Causa Amazonia,Tapas/Small Plates,N/A,4.3,243,N/A,38.90673352616128,-77.02483240021563,20001
41,Tom's Watch Bar,Sports Bars,$$,3.8,78,N/A,38.87548784628661,-77.00728649999999,20003
42,Orkney Springs Distillery,Distilleries,N/A,5.0,4,N/A,38.83403282894666,-77.0594227,22305
43,Jackie Lee's,Bars,$,4.7,69,N/A,38.95639,-77.01249,20011
44,The Delegate,Breakfast & Brunch,$$,3.7,232,N/A,38.90438,-77.02442,20001
45,Fight Club,Bars,$$,4.0,470,N/A,38.8847842208475,-76.9973258,20003
46,Stable DC,Modern European,$$,4.6,348,N/A,38.900399,-76.987348,20002
47,Tamashaa,Indian,N/A,4.4,47,N/A,38.929705,-77.032287,20010
48,The Park at 14th,Bars,$$,3.7,1297,N/A,38.90192164703521,-77.03227518745507,20005
49,Emissary,Coffee & Tea,$$,4.0,537,N/A,38.90951,-77.04638,20036
