,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,Jane Jane,Cocktail Bars,$$,4.5,131,N/A,38.912816950840984,-77.0317396670805,20009
1,CODE RED,Cocktail Bars,$$,4.6,114,N/A,38.92168,-77.0427,20009
2,The Crown & Crow,Bars,$$,4.5,149,N/A,38.90783,-77.03162,20005
3,The Alchemist DC,Speakeasies,N/A,4.2,82,N/A,38.91681,-77.03099,20009
4,Alegria,Bars,N/A,4.4,29,N/A,38.92207615313492,-76.99656950224221,20002
5,Union Trust,Whiskey Bars,$$,4.5,79,N/A,38.89977852185501,-77.03396807053333,20005
6,Last Call Bar,Dive Bars,N/A,4.2,60,N/A,38.90902298566348,-76.99874776747654,20002
7,Treehouse Rooftop,Wine Bars,$$,4.0,57,N/A,38.91089365691521,-76.99753875994404,20002
8,Madam's Organ,Jazz & Blues,$$,3.8,509,N/A,38.92204,-77.04214,20009
9,Segreto,Speakeasies,N/A,4.2,22,N/A,38.9165130525252,-77.02435369999999,20001
10,OPO Bar & Lounge,Lounges,$$$$,5.0,1,N/A,38.89424872193416,-77.02747742194228,20004
11,The Mirror,Cocktail Bars,$$,4.1,228,N/A,38.90291,-77.03268,20005
12,Proper 21 - F Street,Bars,$$,3.9,861,N/A,38.8976440429688,-77.0305938720703,20004
13,The Dignitary,Cocktail Bars,$$,3.8,96,N/A,38.90376,-77.02478,20001
14,ChurchKey,New American,$$,3.9,1512,N/A,38.908492821790304,-77.03169314110445,20005
15,Tiki TNT & Potomac Distilling,Tiki Bars,$$,3.4,441,N/A,38.880971,-77.0273,20024
16,Ellipse Rooftop Bar,Cocktail Bars,$$,3.9,46,N/A,38.90213,-77.03567,20005
17,Left Door,Cocktail Bars,$$$,3.7,225,N/A,38.91428,-77.03148,20009
18,Chop Shop,Dive Bars,N/A,4.1,10,N/A,38.904361,-77.002973,20002
19,The Tiki Room,Tiki Bars,N/A,4.5,22,N/A,38.98158,-77.09205,20815
20,Cotton & Reed,Distilleries,$$,4.3,215,N/A,38.9094889860117,-76.9977027922869,20002
21,Free State,Wine Bars,$$,4.3,140,N/A,38.898453,-77.019255,20003
22,Denson Liquor Bar,Cocktail Bars,$$$,4.3,434,N/A,38.897073,-77.020247,20004
23,Old Ebbitt Grill,Bars,$$,4.2,11059,N/A,38.897967,-77.033342,20005
24,Off The Record,Bars,$$$,4.1,409,N/A,38.90051,-77.037,20006
25,Neptune Room,Dive Bars,N/A,4.8,5,N/A,38.955421,-77.027637,20011
26,Serenata,Cocktail Bars,N/A,3.9,67,N/A,38.9086648,-76.9996112,20002
27,Sid Gold's Request Room,Piano Bars,N/A,4.2,11,N/A,38.90799941051322,-76.9990243,20002
28,Manifest,Barbers,N/A,4.3,47,N/A,38.9167886,-77.0422263,20009
29,Republic Restoratives Distillery,Distilleries,$$,4.4,104,N/A,38.9154040687813,-76.9852808117867,20002
30,The Wells,Cocktail Bars,N/A,4.3,48,N/A,38.88518258117836,-76.99599564507497,20003
31,Dubliner Restaurant & Pub,Irish,$$,3.6,863,N/A,38.8971526,-77.009472,20001
32,Medina,Bars,N/A,4.3,41,N/A,38.919685705410664,-77.0305083,20056
33,Lost & Found,Cocktail Bars,$$,3.6,181,N/A,38.90677,-77.02428,20001
34,Nice & Easy,Dive Bars,N/A,4.0,8,N/A,38.9044,-77.00297,20002
35,Other Half Brewing DC,Breweries,$$,4.9,88,N/A,38.91425316524378,-76.98375121165662,20002
36,Jimmy Valentine's Lonely Hearts Club,Dive Bars,$$,4.4,81,N/A,38.90392,-76.9806,20002
37,Jackpot,Dive Bars,$$,4.3,259,N/A,38.89934155115411,-77.02203414755776,20001
38,Kingfisher,Bars,$$,4.3,122,N/A,38.909378,-77.032363,20005
39,Metrobar DC,Bars,$$,4.0,119,N/A,38.9212319,-76.9968751,20002
40,City Tap House Penn Quarter,Bars,$$,3.9,1844,N/A,38.90104645534967,-77.02379934110401,20001
41,Hamilton's Bar & Grill,Sports Bars,$$,3.5,320,N/A,38.8932571411133,-77.0134048461914,20001
42,Barrel,New American,$$,4.3,939,N/A,38.8851357980807,-76.9978595803566,20003
43,Little Miss Whiskey's Golden Dollar,Bars,$$,3.9,350,N/A,38.90043,-76.99121,20002
44,Over Under Sportsbook Rooftop Lounge,Sports Bars,$$,3.3,78,N/A,38.90227,-77.0187,20001
45,Death & Co DC,Cocktail Bars,$$$,4.0,78,N/A,38.90642,-77.02455,20001
46,Wunder Garten At Noma,Beer Gardens,$$,3.7,253,N/A,38.90399857933707,-77.00541937364945,20002
47,Union Pub,Pubs,$$,3.4,424,N/A,38.894788385996975,-77.00304000235836,20002
48,CR NoMa,Mediterranean,$$,4.4,180,N/A,38.90591,-77.00473,20002
49,Pisco y Nazca Ceviche Gastrobar,Peruvian,$$,4.6,2628,N/A,38.90398223,-77.0426388,20036
