,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,Taqueria Habanero,Mexican,$$,4.3,1083,N/A,38.93755,-77.03309,20010
1,Blackfinn Ameripub - DC,Sports Bars,$$,3.4,665,N/A,38.90106,-77.0375,20006
2,No Kisses Bar,Bars,N/A,4.0,27,N/A,38.92968,-77.02362,20010
3,Electric Cool-Aid,Beer Gardens,N/A,4.3,42,N/A,38.91314712632733,-77.01955469860009,20001
4,Luke's Lounge,Lounges,N/A,4.5,2,N/A,38.89785,-77.02987,20005
5,The Bullpen,Sports Bars,$$,3.5,123,N/A,38.875366052539405,-77.00773318220872,20003
6,Bunker,Gay Bars,N/A,3.4,9,N/A,38.91716,-77.03173,20009
7,Rocket Bar,Pool Halls,$$,3.3,494,N/A,38.8990020751953,-77.0222244262695,20001
8,Toro Bar,Pool Halls,N/A,5.0,3,N/A,38.9375,-77.03309,20010
9,Moonraker,Cocktail Bars,$$$,3.7,97,N/A,38.877694,-77.022429,20024
10,Jake's Tavern,Pubs,N/A,3.9,44,N/A,38.91144,-77.02212,20001
11,Apéro,Bars,N/A,4.3,115,N/A,38.90922189994741,-77.05549099570759,20007
12,Solly's Tavern,Music Venues,$,3.4,209,N/A,38.916886768182,-77.027219144205,20001
13,Dram & Grain,Whiskey Bars,N/A,4.1,15,N/A,38.917192,-77.041422,20009
14,Vno At The Harbor,Wine Bars,N/A,4.3,36,N/A,38.78529,-77.01609,20745
15,Drunk Shakespeare - DC,Performing Arts,N/A,4.6,96,N/A,38.90416,-77.03001,20005
16,Ama,Bars,N/A,4.1,47,N/A,38.88015,-77.00566,20003
17,Maxwell Park,Wine Bars,$$,4.4,141,N/A,38.90843,-77.02425,20001
18,Tkyo Speak,Bars,N/A,4.2,34,N/A,38.881964667518126,-76.9952897,20003
19,The Green Zone,Cocktail Bars,$$,4.1,198,N/A,38.91947,-77.04189,20009
20,Astro Beer Hall,Sports Bars,N/A,3.4,77,N/A,38.898161,-77.030295,20005
21,1908 Lounge,Lounges,N/A,3.0,1,N/A,38.8971889138329,-77.00607181039562,20002
22,The Sovereign,Belgian,$$,3.9,560,N/A,38.9055439446593,-77.063429367214,20007
23,Mr Braxton Bar & Kitchen,New American,$$,4.0,667,N/A,38.934971,-77.024398,20010
24,Lost Generation Brewing,Breweries,N/A,4.5,40,N/A,38.91392100357749,-77.00090206282734,20002
25,Tiger Fork,Chinese,$$,3.9,903,N/A,38.9070698055236,-77.0248598,20001
26,Moon Rabbit,Vietnamese,N/A,4.3,116,N/A,38.897541372622534,-77.02524618922448,20004
27,Calico,Cocktail Bars,$$,3.8,213,N/A,38.9064079503045,-77.0254480491635,20001
28,Present Company Public House,Pubs,$$,4.6,110,N/A,38.9002246213413,-77.0172864220771,20001
29,Lyman's Tavern,Bars,$,4.1,133,N/A,38.93774620335643,-77.0329999467969,20011
30,Bistro Cacao,French,$$$,4.2,806,N/A,38.8944704296041,-77.00110386499308,20002
31,Blues Alley,Jazz & Blues,$$,3.8,340,N/A,38.9046849046108,-77.0621609687805,20007
32,Pearl Street Warehouse,Bars,$$,3.5,109,N/A,38.8788478898824,-77.02396817398292,20024
33,Hill Prince,Cocktail Bars,$$,4.2,76,N/A,38.899893,-76.986978,20002
34,St Vincent Wine,Wine Bars,$$,3.9,143,N/A,38.93044886354697,-77.0237689,20010
35,Looking Glass Lounge,Lounges,$$,3.8,241,N/A,38.935187,-77.024495,20010
36,Duffy’s Irish Pub - Cap Hill East,Pubs,N/A,4.2,5,N/A,38.88477047155565,-76.9768376543844,20003
37,The Eastern,Wine Bars,N/A,4.5,56,N/A,38.88536,-76.99589,20003
38,The Hideaway,Sports Bars,$,3.6,38,N/A,38.7856124,-76.895079,20735
39,North Italia,Italian,$$,4.1,501,N/A,38.90142,-77.04761,20037
40,Paste & Rind,Cheese Shops,N/A,4.6,15,N/A,38.900409,-76.993435,20002
41,Brightwood Pizza & Bottle by ANXO,Bars,$$,4.4,73,N/A,38.9565769,-77.0228742,20011
42,Bartaco,Latin American,$$,4.3,42,N/A,38.90279,-77.01831,20001
43,Housebar,"Beer, Wine & Spirits",N/A,4.8,17,N/A,38.874961730491655,-77.0060998,20003
44,Chaplin's,Cocktail Bars,$$,4.0,1417,N/A,38.909798,-77.023651,20001
45,Lucy Bar,Cocktail Bars,N/A,4.2,56,N/A,38.92002327865334,-77.03147438069553,20009
46,Del Mar,Spanish,$$$,3.9,980,N/A,38.878951,-77.024583,20024
47,Harry's Pub,Pubs,$$,2.9,57,N/A,38.9243942211468,-77.0548882235565,20008
48,The Tombs,New American,$$,3.8,456,N/A,38.90602571513648,-77.07044349238734,20007
49,The Rooftop at The Graham,Cocktail Bars,$$$,3.3,69,N/A,38.904775,-77.059903,20007
