,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,Ambar Shaw,Modern European,$$,4.4,145,N/A,38.91094,-77.02172,20001
1,Vin Sur Vingt,Wine Bars,N/A,4.2,75,N/A,38.910737,-77.0316311,20005
2,Fava Pot,Egyptian,$$,4.8,90,N/A,38.90585,-77.0425,20036
3,Pappe,Indian,$$$,4.0,528,N/A,38.90783,-77.03162,20005
4,Ama,Bars,N/A,4.1,47,N/A,38.88015,-77.00566,20003
5,Donburi,Japanese,$$,4.1,203,N/A,38.904857,-77.043713,20036
6,China Boy,Chinese,$$,4.0,561,N/A,38.90037,-77.01957,20001
7,Daikaya Ramen Shop,Ramen,$$,4.1,3675,N/A,38.8986,-77.0195899,20001
8,Salt,Bars,$$$,4.5,255,N/A,38.89571577172282,-77.07099243299325,22209
9,El Rinconcito Cafe,Salvadoran,$,4.1,617,N/A,38.90542,-77.0268,20001
10,Arepa Zone,Venezuelan,$$,4.2,398,N/A,38.9045,-77.03159,20005
11,Martha Dear,Bars,N/A,4.4,91,N/A,38.929205,-77.037805,20010
12,ZumoThai,Asian Fusion,$$,4.5,112,N/A,38.9003,-77.02164,20001
13,Logan Tavern,New American,$$,3.9,1149,N/A,38.9097849,-77.0325964,20005
14,Agora DC,Mediterranean,$$$,4.0,1725,N/A,38.91067,-77.03813,20036
15,Lapis,Afghan,$$,4.3,1030,N/A,38.9212443139038,-77.0436972509161,20009
16,Haikan,Ramen,$$,4.0,579,N/A,38.91799299,-77.02323518,20001
17,Old House Cosmopolitan Grill,German,$$,4.6,240,N/A,38.80657,-77.05104,22314
18,2Fifty Texas BBQ,Barbeque,$$,4.6,498,N/A,38.9620304,-76.9349126,20737
19,MITA,Vegan,N/A,4.7,29,N/A,38.91765,-77.02319,20001
20,Compass Rose,Cocktail Bars,$$$,4.2,922,N/A,38.915375128152895,-77.03151827397103,20009
21,Bandit Taco,Mexican,$,4.0,306,N/A,38.91678,-77.03712,20009
22,RPM Italian,Italian,$$$,4.0,1783,N/A,38.9023026852199,-77.0209709153443,20001
23,Tartufo,Italian,$$,4.3,154,N/A,38.95384,-77.08255,20016
24,Ceibo,Cocktail Bars,N/A,4.9,56,N/A,38.918109,-77.041904,20009
25,Apéro,Bars,N/A,4.3,115,N/A,38.90922189994741,-77.05549099570759,20007
26,Causa Amazonia,Tapas/Small Plates,N/A,4.3,243,N/A,38.90673352616128,-77.02483240021563,20001
27,Immigrant Food at The White House,New American,$$,4.2,232,N/A,38.89930989522125,-77.04013870345734,20006
28,Service Bar,Cocktail Bars,$$,4.4,304,N/A,38.91683,-77.02501,20001
29,Tail Up Goat,Cocktail Bars,$$$,4.3,874,N/A,38.9235881935023,-77.0431297123031,20009
30,The Pembroke,New American,N/A,4.1,315,N/A,38.91048,-77.04309,20036
31,Wasai,Chinese,$$,4.0,201,N/A,38.89905,-77.02222,20001
32,Cielo Rojo,Mexican,$$,4.5,518,N/A,38.977633,-77.0069197291252,20912
33,Blue Duck Tavern,New American,$$$,4.1,2732,N/A,38.9055917636612,-77.0511932944776,20037
34,Bar Boheme,Sandwiches,N/A,4.8,19,N/A,38.908641522719115,-76.997527731155,20002
35,Tortino Restaurant,Italian,$$,4.2,860,N/A,38.906591,-77.027296,20001
36,Cynthia Bar & Bistro,New American,N/A,4.4,41,N/A,38.90034662327045,-76.9992372788827,20002
37,Amelie,Wine Bars,N/A,4.6,19,N/A,38.9078155727434,-77.0315792,20005
38,K Cup Bap,Korean,N/A,5.0,1,N/A,38.8876753117916,-77.00998009999999,20250
39,Mandu,Korean,$$,3.9,913,N/A,38.9025165013075,-77.0182084994751,20001
40,Taqueria Al Lado,Tacos,N/A,4.3,56,N/A,38.9004896821002,-76.9899913,20002
41,Rice Bar,Noodles,$$,4.5,216,N/A,38.885987,-77.02121,20024
42,Rose's Luxury,New American,$$$$,4.5,2380,N/A,38.88063,-76.99534,20003
43,Brasserie Liberte,French,$$,4.0,525,N/A,38.906176,-77.064069,20007
44,Mola,Latin American,N/A,4.8,60,N/A,38.92165,-77.04266,20009
45,Dōgon,Caribbean,N/A,4.4,54,N/A,38.8837453793371,-77.03010416783191,20024
46,Oh! Naan Indian Kitchen,Indian,N/A,4.2,37,N/A,38.91332,-77.0324,20009
47,Doi Moi,Vietnamese,$$,3.9,1341,N/A,38.9141018649927,-77.0321429153443,20009
48,SUNdeVICH,Sandwiches,$$,4.2,643,N/A,38.90776373566,-77.024359310674,20001
49,Ruta Ukrainian Restaurant,Ukrainian,$$,4.5,74,N/A,38.88536643920551,-76.996494,20007
