,name,cuisine,price_range,rating,review_count,neighborhoods,latitude,longitude,zip_code
0,JINYA Ramen Bar - Logan Circle,Ramen,$$,4.1,1345,N/A,38.90845011013803,-77.03221963602826,20005
1,Tiger Fork,Chinese,$$,3.9,903,N/A,38.9070698055236,-77.0248598,20001
2,Cane,Trinidadian,$$,4.4,637,N/A,38.9,-77.00032,20002
3,Laos In Town,Laotian,$$,4.4,807,N/A,38.902842618477194,-77.00229728650758,20002
4,The Grill,American,$$,4.0,644,N/A,38.88075,-77.026968,20024
5,Treehouse Rooftop,Wine Bars,$$,4.0,57,N/A,38.91089365691521,-76.99753875994404,20002
6,Taqueria Habanero,Mexican,$$,4.3,1083,N/A,38.93755,-77.03309,20010
7,Mi Vida,Mexican,$$,4.1,194,N/A,38.915769918646035,-77.03149164891241,20009
8,Soupy Dumpling & Fancy Cuppa Bubble Tea,Chinese,$$,4.5,63,N/A,38.90793,-77.03229,20005
9,Pacci’s,Italian,N/A,4.5,66,N/A,38.889421,-76.988021,20003
10,Spotted Zebra,Breakfast & Brunch,N/A,4.1,7,N/A,38.89950429670715,-77.0277270184019,20005
11,KooKoo Restaurant & Lounge,Persian/Iranian,N/A,4.9,53,N/A,38.93067,-77.03297,20010
12,Tiger Dumplings,Noodles,$$,4.3,360,N/A,38.88613,-77.09768,22201
13,Rooster & Owl,New American,$$$$,4.5,480,N/A,38.9215571973142,-77.0323891192675,20009
14,Copycat Co,Cocktail Bars,$$,4.3,777,N/A,38.9004517,-76.9910202,20002
15,Chloe,New American,$$,4.5,693,N/A,38.87431,-77.00072,20003
16,Chef Geoff's West End,New American,$$,4.4,551,N/A,38.90548157256578,-77.04904170345223,20037
17,Hawkers Asian Street Food,Pan Asian,$$,4.4,804,N/A,38.88033,-77.1111,22203
18,Chiko,Chinese,$$,4.4,383,N/A,38.90984,-77.04627,20036
19,Nina May,New American,$$$,4.4,418,N/A,38.90844190192456,-77.02667000447393,20001
20,La Grande Boucherie,French,$$$,4.4,429,N/A,38.89817,-77.03162,20005
21,Maizal,Latin American,N/A,4.8,5,N/A,38.89532,-77.02987,20004
22,Mecha Noodle Bar,Ramen,$$$,4.3,81,N/A,38.90795,-77.00064,20002
23,ChurchKey,New American,$$,3.9,1512,N/A,38.908492821790304,-77.03169314110445,20005
24,Sixty Vines,Wine Bars,$$$,4.6,96,N/A,38.90185549242839,-77.0493245,20037
25,Cracked Eggery,Breakfast & Brunch,$$,4.4,132,N/A,38.91625,-77.02261,20001
26,2Fifty Texas BBQ,Barbeque,N/A,4.2,71,N/A,38.90222182862365,-77.01680489507663,20001
27,Zaytinya,Greek,$$$,4.2,6001,N/A,38.89904,-77.02349,20001
28,Quill,New American,$$$,4.4,227,N/A,38.906037328402576,-77.03693768464976,20036
29,Across The Pond,American,$$,4.4,224,N/A,38.9136787,-77.0460517,20009
30,CIRCA at Navy Yard,American,$$,4.4,561,N/A,38.87629,-77.00629,20003
31,Sidecar,American,N/A,3.9,7,N/A,38.9110077558493,-77.0324481278658,20009
32,Mi Vida,Mexican,$$,3.9,1459,N/A,38.8799058,-77.025148,20024
33,Palette 22 - DC,Bars,N/A,4.8,165,N/A,38.907917,-76.999599,20002
34,Matchbox - Penn Quarter,New American,$$,4.1,460,N/A,38.89595,-77.02249,20004
35,Casa Teresa,Spanish,N/A,4.3,69,N/A,38.90176709782731,-77.04318434000015,20006
36,Purple Patch,Filipino,$$,4.4,1465,N/A,38.93057,-77.03762,20010
37,City Tap House Penn Quarter,Bars,$$,3.9,1844,N/A,38.90104645534967,-77.02379934110401,20001
38,Federalist Pig,Barbeque,$$,4.3,867,N/A,38.925033,-77.038606,20009
39,Ted's Bulletin,Breakfast & Brunch,$$,4.0,2267,N/A,38.91469,-77.03211,20009
40,CODE RED,Cocktail Bars,$$,4.6,114,N/A,38.92168,-77.0427,20009
41,Retrobottega,Tapas/Small Plates,$$,4.4,297,N/A,38.92143,-77.04193,20009
42,"Joe's Seafood, Prime Steak & Stone Crab",Seafood,$$$,4.3,2011,N/A,38.89997328649278,-77.03393236740881,20005
43,O-Ku,Sushi Bars,$$$,4.5,697,N/A,38.90824083550104,-76.99870358398579,20002
44,The Henri,Modern European,N/A,4.1,59,N/A,38.89659,-77.03002,20004
45,Makan,Malaysian,N/A,4.1,393,N/A,38.931928,-77.028447,20010
46,Estuary,Seafood,N/A,4.2,192,N/A,38.90127060239806,-77.02525419999996,20001
47,Grazie Grazie,Salad,$$,4.3,410,N/A,38.8796167667547,-77.025334239006,20024
48,il Canale,Italian,$$,4.3,4908,N/A,38.904493,-77.0609744,20007
49,Residents Cafe & Bar,Cocktail Bars,$$,4.4,551,N/A,38.90795,-77.04186,20036
